과목코드,과목명,이수구분
10050,모바일프로그래밍,전공선택
10054,컴퓨터개론,전공선택
11005,이산수학,전공선택
11013,컴퓨터구조,전공선택
11014,시스템프로그래밍,전공선택
11023,데이터베이스,전공선택
11050,데이터통신,전공선택
11071,논리회로,전공선택
11072,소프트웨어공학,전공필수
11098,자료구조,전공필수
11099,객체지향프로그래밍1,전공선택
11102,운영체제,전공선택
11109,객체지향프로그래밍2,전공필수
11111,컴퓨터네트워크,전공선택
11614,자바프로그래밍1,전공필수
11616,알고리즘분석및실습,전공선택
11617,자바프로그래밍2,전공필수
12970,[캡스톤]캠스톤디자인1,전공선택
13230,[졸업작품][캠스톤]캠스톤디자인2,전공선택
13361,창업실습I,전공선택
13863,정보보안관리,전공선택
13864,정보보안기술,전공선택
13867,프로그래밍언어1(C언어),전공선택
13868,프로그래밍언어2(C언어),전공필수
14823,데이터베이스구축실습,전공선택
16905,빅데이터컴퓨팅,전공선택
22227,AI개론,전공선택
22228,데이터과학수학,전공선택
22230,창업실습2,전공선택
22231,빅데이터분석실습,전공선택
22232,가상화클라우드컴퓨팅,전공선택
22233,산학프로젝트1,전공선택
22234,머신러닝과데이터분석,전공선택
22235,SW안전실습,전공선택
22236,산학프로젝트2,전공선택
